text,label,dataset,language,text_original,sentence_count,word_count,char_count,script_tamil,script_malayalam,script_kannada,script_latin,dominant_script,code_mix_index,label_encoded
ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಇರುವಷ್ಟು ಹೊಟ್ಟೆಕಿಚ್ಚು ಜನಗಳು ಬೇರೆ ಯಾವ ಭಾಷೆಯಲ್ಲೂ ಸಿಗುವುದಿಲ್ಲ ಎಂಥ ದೊಡ್ಡ ವ್ಯಕ್ತಿ ಮಗ ಇವರು ಅಶ್ವಥ್ ಸಾರ್ ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಮೇರು ನಟರು ಅವರ ಮಗನಿಗೆ ಇದೆಂಥಾ ಪಜಿತಿ.ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಯಾರಿಗೆ ಯಾರೂ ಸಹಾಯ ಮಾಡುವುದಿಲ್ಲ ನೂರಾರು ಕೋಟಿ ಹಣವಿದ್ದರೂ ಅವರು ಸ್ವಾರ್ಥಿ ಗಳಾಗಿರುತ್ತಾರೆ ಇದೇ ಕಾರಣಕ್ಕೆ ರಜನಿಕಾಂತ್ ಅರ್ಜುನ್ ಸರ್ಜಾ ರಂತಹ ಮೇರು ನಟರು ನಮ್ಮ ಭಾಷೆ ಬಿಟ್ಟು ಪರ ಬಾಷೆಗೆ ಹೋಗಿರುವುದು.,Negative,kannada_sentiment,kannada,ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಇರುವಷ್ಟು ಹೊಟ್ಟೆಕಿಚ್ಚು ಜನಗಳು ಬೇರೆ ಯಾವ ಭಾಷೆಯಲ್ಲೂ ಸಿಗುವುದಿಲ್ಲ ಎಂಥ ದೊಡ್ಡ ವ್ಯಕ್ತಿ ಮಗ ಇವರು ಅಶ್ವಥ್ ಸಾರ್ ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದ ಮೇರು ನಟರು ಅವರ ಮಗನಿಗೆ ಇದೆಂಥಾ  ಪಜಿತಿ...ನಮ್ಮ ಕನ್ನಡ ಚಿತ್ರರಂಗದಲ್ಲಿ ಯಾರಿಗೆ ಯಾರೂ ಸಹಾಯ ಮಾಡುವುದಿಲ್ಲ ನೂರಾರು ಕೋಟಿ ಹಣವಿದ್ದರೂ ಅವರು ಸ್ವಾರ್ಥಿ ಗಳಾಗಿರುತ್ತಾರೆ ಇದೇ ಕಾರಣಕ್ಕೆ ರಜನಿಕಾಂತ್ ಅರ್ಜುನ್ ಸರ್ಜಾ ರಂತಹ ಮೇರು ನಟರು ನಮ್ಮ ಭಾಷೆ ಬಿಟ್ಟು  ಪರ ಬಾಷೆಗೆ ಹೋಗಿರುವುದು...,1,52,371,0,0,318,0,kannada,0.0,1
ಸ್ವಾಭಿಮಾನಿ ದೇವತ ಪುರುಷನ ಮಗ. ತಕ್ಕಂತೆ ಇದಾರೆ,Positive,kannada_sentiment,kannada,ಸ್ವಾಭಿಮಾನಿ ದೇವತ ಪುರುಷನ ಮಗ... ತಕ್ಕಂತೆ ಇದಾರೆ,2,6,40,0,0,34,0,kannada,0.0,0
super song 100 days pakka,Positive,kannada_sentiment,kannada,Super song 100 days pakka,1,5,25,0,0,0,18,latin,20.0,0
punyathma andre evare,Positive,kannada_sentiment,kannada,Punyathma andre evare,1,3,21,0,0,0,19,latin,0.0,0
ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಈ ಚಿತ್ರವು ಶತದಿನೋತ್ಸವ ಆಚರಿಸಲಿ ಎಂದು ಶುಭ ಕೋರುತ್ತೇವೆ ..ಚಿತ್ರದುರ್ಗ ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಬಳಗ,Positive,kannada_sentiment,kannada,ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಈ ಚಿತ್ರವು ಶತದಿನೋತ್ಸವ ಆಚರಿಸಲಿ ಎಂದು ಶುಭ ಕೋರುತ್ತೇವೆ ...............................ಚಿತ್ರದುರ್ಗ ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಬಳಗ,1,17,126,0,0,108,0,kannada,0.0,0
yudda maadabeku hogabaradu katukara rasmika nmunde bhagavthgeethe,unknown_state,kannada_sentiment,kannada,Yudda maadabeku hogabaradu katukara(RASMIKA) nmunde BHAGAVTHGEETHE,1,7,65,0,0,0,59,latin,0.0,3
trailer kooda 6 dina trending alli ittu,Positive,kannada_sentiment,kannada,Trailer Kooda 6 dina Trending alli ittu,1,7,39,0,0,0,32,latin,14.285714285714285,0
insta link akiddini nodi brother,Positive,kannada_sentiment,kannada,Insta link akiddini nodi brother,1,5,32,0,0,0,28,latin,0.0,0
promotion chennag madilla,Negative,kannada_sentiment,kannada,Promotion chennag madilla,1,3,25,0,0,0,23,latin,0.0,1
super tippa story,Positive,kannada_sentiment,kannada,Super tippa story,1,3,17,0,0,0,15,latin,0.0,0
ಇದೇ ಥರ ಕನ್ನಡ ಚಲನಚಿತ್ರಗಳು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸಲಿ ಇದೆ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ ಅವನೇ ಶ್ರೀಮನ್ ನಾರಾಯಣ,Positive,kannada_sentiment,kannada,ಇದೇ ಥರ ಕನ್ನಡ  ಚಲನಚಿತ್ರಗಳು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸಲಿ ಇದೆ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರ  ಅವನೇ ಶ್ರೀಮನ್ ನಾರಾಯಣ,1,13,90,0,0,78,0,kannada,0.0,0
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Positive,kannada_sentiment,kannada,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,1,10,64,0,0,55,0,kannada,0.0,0
parthasarathi ಲೆ ನೀನು ಒಳ್ಳೆಅವ್ಳು ಆದ್ರೆ ಸೈಡ್ ಗೇ ಇರು.. ಅದು ಬಿಟ್ಟು ತಿಕಾ ಎಲ್ಲಾ ಮಾತಾಡೋಕೆ ಬಂದ್ರೆ. ಗೊತ್ತಲಾ,Negative,kannada_sentiment,kannada,@Nandi Parthasarathi ಲೆ ನೀನು ಒಳ್ಳೆಅವ್ಳು ಆದ್ರೆ ಸೈಡ್ ಗೇ ಇರು.... ಅದು ಬಿಟ್ಟು ತಿಕಾ ಎಲ್ಲಾ ಮಾತಾಡೋಕೆ ಬಂದ್ರೆ... ಗೊತ್ತಲಾ,3,15,99,0,0,69,13,kannada,6.666666666666667,1
kathe tumba ista aythu..,Positive,kannada_sentiment,kannada,Kathe tumba ista aythu..,1,4,24,0,0,0,19,latin,0.0,0
h s q1 50,unknown_state,kannada_sentiment,kannada,@Hanumanthappa H S q1*50,1,4,9,0,0,0,3,latin,25.0,3
ಈ ಚಿತ್ರವನ್ನು ಮತ್ತೊಮ್ಮೆ ಚಿತ್ರಮಂದಿರಗಳಿಗೆ ತನ್ನಿ ನಮ್ಮ ಕನ್ನಡಿಗರು ಕೈಬಿಡುವುದಿಲ್ಲ ಮತ್ತೊಮ್ಮೆ ರಿಲೀಸ್ ಮಾಡಿ,Positive,kannada_sentiment,kannada,ಈ ಚಿತ್ರವನ್ನು ಮತ್ತೊಮ್ಮೆ ಚಿತ್ರಮಂದಿರಗಳಿಗೆ ತನ್ನಿ ನಮ್ಮ ಕನ್ನಡಿಗರು ಕೈಬಿಡುವುದಿಲ್ಲ ಮತ್ತೊಮ್ಮೆ ರಿಲೀಸ್ ಮಾಡಿ,1,11,95,0,0,85,0,kannada,0.0,0
yaaru film nodkobandu keltiroru like maadi,Positive,kannada_sentiment,kannada,Yaaru Film nodkobandu keltiroru like maadi,1,6,42,0,0,0,37,latin,0.0,0
o my god wt a acting bro really my eyes are wet nice concept keep it up bro now a days alli avarage thumba bejar ago tara madatara jana naavu tilidu antavaru agi hag madidre hege heli naavu avara baavanegalige spandisibeku alva avaralli kuda thumba jana achive madidara tamil naadu alli oblu i.p.s agidale enu bala jana ne edara pls frds avarage naavu supportive agirbeku alva nice concept anna,Positive,kannada_sentiment,kannada,o my god wt a acting bro really my eyes are wet nice concept keep it up bro now a days alli avarage thumba bejar ago tara madatara jana naavu tilidu antavaru agi hag madidre hege heli naavu avara baavanegalige spandisibeku alva avaralli kuda thumba jana achive madidara tamil naadu alli oblu i.p.s agidale enu bala jana ne edara pls frds avarage naavu supportive agirbeku alva nice concept anna,1,69,394,0,0,0,324,latin,0.0,0
super gelaya a nan sulege magalu chinadorage hutidale,Negative,kannada_sentiment,kannada,Super gelaya a nan sulege magalu chinadorage hutidale,1,8,53,0,0,0,46,latin,0.0,1
shankarnag sir uppi sir nantara obb uttama actor director sikkidane nam kannada industry ge rakshit shatty,Positive,kannada_sentiment,kannada,shankarnag sir & uppi sir nantara obb uttama actor & director sikkidane nam kannada industry ge Rakshit shatty,1,16,106,0,0,0,91,latin,0.0,0
hands up !,unknown_state,kannada_sentiment,kannada,Hands up !!!,1,3,10,0,0,0,7,latin,33.33333333333333,3
ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,Positive,kannada_sentiment,kannada,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,1,10,64,0,0,55,0,kannada,0.0,0
sir naanu helabekiddanna thumba channagi helidira. nimma mathugalashte sumadura hrudaya sparshi agide. pls yelladru nodi 1 sala adru. olle anubhava beku antha iroru.,Positive,kannada_sentiment,kannada,Sir naanu helabekiddanna thumba channagi helidira. Nimma mathugalashte sumadura hrudaya sparshi agide. Pls yelladru nodi 1 sala adru. Olle anubhava beku antha iroru...,4,23,165,0,0,0,138,latin,4.3478260869565215,0
ಬೋಡ ಶೀರಾ ಅಭಿಮಾನಗಳು ಇಲ್ಲಿ ಲೈಕ್ ಮಾಡಿ,Positive,kannada_sentiment,kannada,ಬೋಡ ಶೀರಾ ಅಭಿಮಾನಗಳು ಇಲ್ಲಿ ಲೈಕ್ ಮಾಡಿ,1,6,34,0,0,29,0,kannada,0.0,0
ಬಹಳ ಸೂಪರ್ ಗಿ ಬೈದ್ದಿದ್ದಾರ ಅಣ್ಣ,Positive,kannada_sentiment,kannada,ಬಹಳ  ಸೂಪರ್ ಗಿ  ಬೈದ್ದಿದ್ದಾರ   ಅಣ್ಣ,1,5,29,0,0,25,0,kannada,0.0,0
sir in mamata kotigobba,Positive,kannada_sentiment,kannada,sir in Mamata kotigobba,1,4,23,0,0,0,20,latin,0.0,0
shivu patil,unknown_state,kannada_sentiment,kannada,Shivu Patil,1,2,11,0,0,0,10,latin,0.0,3
hello hindi song,unknown_state,kannada_sentiment,kannada,Hello Hindi song,1,3,16,0,0,0,14,latin,0.0,3
i feel sandalwood have not lost shankarnag after seeing rs2,Positive,kannada_sentiment,kannada,I feel sandalwood have not lost shankarnag after seeing RS2,1,10,59,0,0,0,49,latin,0.0,0
parthasarathi nimmvga nimmkga ittini illi ninuge 50 off ba,Mixed_feelings,kannada_sentiment,kannada,@Nandi Parthasarathi nimmvga nimmkga ittini illi ninuge 50%off ba,1,9,58,0,0,0,48,latin,11.11111111111111,2
super video ಜೈ ಹಿಂದ್ ಜೈ ಭಾರತ ಮಾತೆ,Positive,kannada_sentiment,kannada,Super video ಜೈ ಹಿಂದ್ ಜೈ ಭಾರತ ಮಾತೆ,1,7,33,0,0,17,10,kannada,28.57142857142857,0
super song,Positive,kannada_sentiment,kannada,Super  song,1,2,10,0,0,0,9,latin,0.0,0
ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಕನ್ನಡದ ಬೆಲೆ ಕಟ್ಟಲಾಗದ ಮಾಣಿಕ್ಯ,Positive,kannada_sentiment,kannada,ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಕನ್ನಡದ ಬೆಲೆ ಕಟ್ಟಲಾಗದ ಮಾಣಿಕ್ಯ,1,6,43,0,0,38,0,kannada,0.0,0
ಉತ್ತರ ಕನ್ನಡದ ಹೆಮ್ಮೆ ಯ ನಟ್ and ನಮ್ಮ ಮೆಚ್ಚಿನ,Positive,kannada_sentiment,kannada,ಉತ್ತರ ಕನ್ನಡದ ಹೆಮ್ಮೆ ಯ ನಟ್ and ನಮ್ಮ ಮೆಚ್ಚಿನ,1,8,42,0,0,32,3,kannada,12.5,0
yes bro tiktok ban agbeku.,Positive,kannada_sentiment,kannada,Yes bro tiktok ban agbeku.,1,5,26,0,0,0,21,latin,0.0,0
anna super agi edit madidiya,Positive,kannada_sentiment,kannada,Anna super agi edit madidiya,1,5,28,0,0,0,24,latin,0.0,0
ಚಿನಾ ಎನನಾ ಉತ್ಪಾದನೆ ಮಾಡಲಿ ನಿನು ನಿನದೇಶ ಉತ್ಪಾದನೆ ಮಾಡಿದ ವಸ್ತುಗಳು ಉಪಯೊಗಿಸು ನಮ್ಮ ಗಿಂತ ದೊಡ್ಡದೆನು ಅಲ್ಲ ಭಾರತೀಯರನ್ನು ನಿನ್ನ ಅತಿ ಬುದಿವಂತಿಕೆಯಿಂದ ಕಿಂಚಪರಿಚಬೆಡ,Negative,kannada_sentiment,kannada,ಚಿನಾ ಎನನಾ ಉತ್ಪಾದನೆ  ಮಾಡಲಿ ನಿನು ನಿನದೇಶ ಉತ್ಪಾದನೆ ಮಾಡಿದ ವಸ್ತುಗಳು ಉಪಯೊಗಿಸು  ನಮ್ಮ ಗಿಂತ ದೊಡ್ಡದೆನು ಅಲ್ಲ  ಭಾರತೀಯರನ್ನು  ನಿನ್ನ ಅತಿ ಬುದಿವಂತಿಕೆಯಿಂದ ಕಿಂಚಪರಿಚಬೆಡ,1,19,143,0,0,125,0,kannada,0.0,1
move chenagi irli hero ge olledagli tumbane kasta padta i darep,Positive,kannada_sentiment,kannada,Move chenagi irli hero ge olledagli  tumbane kasta padta I dareP,1,11,63,0,0,0,53,latin,0.0,0
pakka engeneering mind bro ..song,Positive,kannada_sentiment,kannada,Pakka Engeneering Mind Bro ....Song,1,5,33,0,0,0,27,latin,0.0,0
ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಆಲ್ ದೀ ಬೆಷ್ಟ ಸೂಪರ್ ಟ್ರೇಲರ,Positive,kannada_sentiment,kannada,ಡಿ ಬಾಸ್ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ ಆಲ್ ದೀ ಬೆಷ್ಟ ಸೂಪರ್ ಟ್ರೇಲರ,1,9,51,0,0,43,0,kannada,0.0,0
ನಿಮಗೆ ಭಗವಂತನ ಅನುಗ್ರಹ ಅನವರತ ಇರಲಿ.n..nಇವತ್ತಿಗೂ ನಮ್ಮದು ಮೈಸೂರು ಸಂಸ್ಥಾನವೇ. ಮಹಾರಾಜರನ್ನು ಹೊರಗಿಟ್ಟು ಈ ಕಳ್ಳ ರಾಜಕಾರಣಿಗಳು ಮಾಡುವ ದಸರಾ ಮೆರವಣಿಗೆನೂ ಒಂದು ಮೆರವಣಿಗೆನೇ? ಯಾವತ್ತೂ ಸಾಧ್ಯವಿಲ್ಲ.. ಇನ್ನಾದರೂ ಎಚ್ಛೆತ್ತು ಕೊಳ್ಳಿ.,Negative,kannada_sentiment,kannada,ನಿಮಗೆ ಭಗವಂತನ ಅನುಗ್ರಹ ಅನವರತ ಇರಲಿ.n....nಇವತ್ತಿಗೂ ನಮ್ಮದು ಮೈಸೂರು ಸಂಸ್ಥಾನವೇ. ಮಹಾರಾಜರನ್ನು ಹೊರಗಿಟ್ಟು ಈ ಕಳ್ಳ ರಾಜಕಾರಣಿಗಳು ಮಾಡುವ ದಸರಾ ಮೆರವಣಿಗೆನೂ ಒಂದು ಮೆರವಣಿಗೆನೇ? ಯಾವತ್ತೂ ಸಾಧ್ಯವಿಲ್ಲ.... ಇನ್ನಾದರೂ ಎಚ್ಛೆತ್ತು ಕೊಳ್ಳಿ...,4,23,197,0,0,165,2,kannada,4.3478260869565215,1
monster kannada adikke hendhi kivi na hardu jail ge hoda sule maga yaruu,Negative,kannada_sentiment,kannada,@TROLL MONSTER_KANNADA adikke hendhi kivi na hardu jail ge hoda sule maga yaruu,1,13,72,0,0,0,60,latin,0.0,1
hands up nahi hands down,unknown_state,kannada_sentiment,kannada,Hands up nahi Hands down,1,5,24,0,0,0,20,latin,0.0,3
sir prajakeeya'kke support madi sir daily 30sec adru adra bagge heli start madi sir pls eno help agutte subscriber bahala jana ide,Positive,kannada_sentiment,kannada,Sir prajakeeya'kke support madi sir daily 30sec adru adra bagge heli start madi sir pls eno help agutte subscriber bahala jana ide,1,22,130,0,0,0,106,latin,0.0,0
wow .. diya soop.,Positive,kannada_sentiment,kannada,Wow .... diya soop.,2,4,17,0,0,0,11,latin,25.0,0
moorne kgf 2,unknown_state,kannada_sentiment,kannada,Moorne kgf 2,1,3,12,0,0,0,9,latin,33.33333333333333,3
ಹಾಡು ಅತ್ಯದ್ಭತವಾಗಿ ಬಂದಿದೆ.. ಸಾಹಿತ್ಯ ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿ ಇದೆ..,Positive,kannada_sentiment,kannada,ಹಾಡು ಅತ್ಯದ್ಭತವಾಗಿ ಬಂದಿದೆ.. ಸಾಹಿತ್ಯ ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿ ಇದೆ..,2,7,56,0,0,46,0,kannada,0.0,0
tiktok ..byan agiddu olledu aythu anna,Positive,kannada_sentiment,kannada,Tiktok ....byan agiddu olledu aythu anna,1,6,38,0,0,0,31,latin,0.0,0
supar sangs ..,Positive,kannada_sentiment,kannada,Supar sangs ..,1,3,14,0,0,0,10,latin,33.33333333333333,0
yarige e trailer nodidre rangitharanga movie nenpaytu like madi,Positive,kannada_sentiment,kannada,Yarige e trailer nodidre Rangitharanga movie nenpaytu like madi,1,9,63,0,0,0,55,latin,0.0,0
bossu niv greatu,Positive,kannada_sentiment,kannada,Bossu niv greatu,1,3,16,0,0,0,14,latin,0.0,0
chandra naan kelv comment nodidakke heliddu,Mixed_feelings,kannada_sentiment,kannada,@sathish chandra 🤣Naan kelv comment noDidakke heliddu,1,6,43,0,0,0,38,latin,0.0,2
ಸೂಪರ್ ಸಾಂಗ್ ಹುಚ್ಚೆಬ್ಬಿಸುವ ಸಾಂಗ್,Positive,kannada_sentiment,kannada,ಸೂಪರ್ ಸಾಂಗ್ ಹುಚ್ಚೆಬ್ಬಿಸುವ ಸಾಂಗ್,1,4,31,0,0,28,0,kannada,0.0,0
song is amazing,Positive,kannada_sentiment,kannada,Song is amazing,1,3,15,0,0,0,13,latin,0.0,0
bgm chindi,Positive,kannada_sentiment,kannada,BGM chindi,1,2,10,0,0,0,9,latin,0.0,0
best film ide sirr love u alla ಯಾಕೆ ಇ film ಇಷ್ಟ ಅಂದ್ರೆ ಇದರಲ್ಲಿ ಬರುವ ಪಾತ್ರ ನಮ್ಮ್ಗ ಎನೂ link ಇದೇ ಅನ್ನೋ ಥರ ಇದೆ supper sir,Positive,kannada_sentiment,kannada,Best film ide sirr love u alla ಯಾಕೆ ಇ film ಇಷ್ಟ ಅಂದ್ರೆ ಇದರಲ್ಲಿ ಬರುವ ಪಾತ್ರ ನಮ್ಮ್ಗ ಎನೂ link ಇದೇ ಅನ್ನೋ ಥರ ಇದೆ supper sir,1,24,117,0,0,53,41,kannada,45.83333333333333,0
bro aa game name heli,Mixed_feelings,kannada_sentiment,kannada,Bro aa game  name  heli,1,5,21,0,0,0,17,latin,0.0,2
vishnuvardhana yarge agli 1st respect kododu mukya,Mixed_feelings,kannada_sentiment,kannada,@Raja Vishnuvardhana yarge agli 1st respect kododu mukya,1,7,50,0,0,0,43,latin,0.0,2
ರಶ್ಮಿಕಾ ಮಂದಣ್ಣಳಿಗೆ ದೆಂ,unknown_state,kannada_sentiment,kannada,ರಶ್ಮಿಕಾ ಮಂದಣ್ಣಳಿಗೆ ದೆಂ,1,3,22,0,0,20,0,kannada,0.0,3
defenetely rakshit shetty,Mixed_feelings,kannada_sentiment,kannada,Defenetely rakshit shetty,1,3,25,0,0,0,23,latin,0.0,2
idu yava game bro,Mixed_feelings,kannada_sentiment,kannada,Idu yava game bro,1,4,17,0,0,0,14,latin,0.0,2
super agi helidi anna,Positive,kannada_sentiment,kannada,Super agi helidi anna,1,4,21,0,0,0,18,latin,0.0,0
lifestyle super guru,Positive,kannada_sentiment,kannada,Lifestyle super guru,1,3,20,0,0,0,18,latin,0.0,0
adre ivaga beda. ee covid-19 ella mugibeku,Positive,kannada_sentiment,kannada,Adre ivaga beda. Ee COVID-19 ella mugibeku,2,7,42,0,0,0,32,latin,0.0,0
yappa huchhu hidustide..asn..awesom,Positive,kannada_sentiment,kannada,Yappa huchhu hidustide.....asn.....awesom,1,3,35,0,0,0,29,latin,0.0,0
ಅರ್ಜುನ್ ಜನ್ಯ ಅವರೇ ನೋಡಿ ಅಜನೀಶ್ ಲೋಕನಾಥ್ ಅತ್ರ ಹೋಗಿ ಮೂಸಿಕ್ ಮಾಡೋದನ್ನ ಕಲಿಯಿರಿ nodeya movie ಗೆ ಏನ್ ಮ್ಯೂಸಿಕ್ ಕೊಟ್ಟಿದಿಯ ಸ್ವಾಮಿ.. ತೂ,Negative,kannada_sentiment,kannada,ಅರ್ಜುನ್ ಜನ್ಯ ಅವರೇ ನೋಡಿ ಅಜನೀಶ್ ಲೋಕನಾಥ್ ಅತ್ರ ಹೋಗಿ ಮೂಸಿಕ್ ಮಾಡೋದನ್ನ ಕಲಿಯಿರಿ 🤣n#Odeya movie ಗೆ ಏನ್ ಮ್ಯೂಸಿಕ್ ಕೊಟ್ಟಿದಿಯ ಸ್ವಾಮಿ........... ತೂ 🤭🤭,2,19,122,0,0,91,11,kannada,10.526315789473683,1
ಯಪ್ಪಾ ನನ್ನ ಒಂದು ಕಾಮೆಂಟ್ 3ಕೆ ಲೈಕ್ ತಗೊಳ್ಳುತ್ತೆ.. ಆದರೆ ನನ್ನಂತ ಸಾಮಾನ್ಯ ಯೂಟ್ಯೂಬ್ ಚಾನಲ್ 3ಕೆ ಫಾಲೋವರ್ಸ್ ಮಾಡೋಕೆ ಕಷ್ಟ ಪಡ್ತಿದ್ದಿನಿ.. ನನ್ನ ಚಾನಲ್ ಅಭಿವೃದ್ದಿ ಮಾಡ್ತೀರಾ??,Negative,kannada_sentiment,kannada,ಯಪ್ಪಾ ನನ್ನ ಒಂದು ಕಾಮೆಂಟ್ 3ಕೆ ಲೈಕ್ ತಗೊಳ್ಳುತ್ತೆ.. ಆದರೆ ನನ್ನಂತ ಸಾಮಾನ್ಯ ಯೂಟ್ಯೂಬ್ ಚಾನಲ್ 3ಕೆ ಫಾಲೋವರ್ಸ್ ಮಾಡೋಕೆ ಕಷ್ಟ ಪಡ್ತಿದ್ದಿನಿ.. ನನ್ನ ಚಾನಲ್ ಅಭಿವೃದ್ದಿ ಮಾಡ್ತೀರಾ??,3,21,153,0,0,125,0,kannada,0.0,1
difirent music lirics,unknown_state,kannada_sentiment,kannada,Difirent music & lirics,1,3,21,0,0,0,19,latin,0.0,3
