text,label,dataset,language,text_original,sentence_count,word_count,char_count,script_tamil,script_malayalam,script_kannada,script_latin,dominant_script,code_mix_index,label_encoded,wsd_aspects,wsd_primary_aspect,wsd_aspect_count
lalettan polichu adukki oru rakshyum illaa,Positive,mal_sentiment,mal,lalettan Polichu adukki oru rakshyum Illaa,1,6,42,0,0,0,37,latin,0.0,0,[],none,0
ithu polikkum.. njangalu trissur kkarude padamaa.. ellavarum poyi kandu polichadakku,Positive,mal_sentiment,mal,Ithu polikkum..  Njangalu trissur kkarude padamaa..  Ellavarum poyi kandu polichadakku,3,10,84,0,0,0,71,latin,0.0,0,[],none,0
srk fan movie poly ano,unknown_state,mal_sentiment,mal,Srk fan movie poly ano 🤔🤔,1,5,22,0,0,0,18,latin,0.0,3,"[{""word"": ""fan"", ""aspect"": ""fan_stardom"", ""confidence"": 1.0}]",fan_stardom,1
എന്റമ്മോ ഈ അസുരൻ പലതും അടിച്ചു തകർത്തിട്ടെ കളം വിടു എന്ന് തോന്നുന്നു,Positive,mal_sentiment,mal,എന്റമ്മോ ഈ അസുരൻ പലതും അടിച്ചു തകർത്തിട്ടെ കളം വിടു എന്ന് തോന്നുന്നു,1,10,68,0,59,0,0,malayalam,0.0,0,[],none,0
"troll ഉണ്ടാക്കിയവർ 2019 january തൊട്ടു december വരെ റീലിസ് ആയ 12 pattukal കണ്ടിട്ട്, ഈ പാട്ട് കണ്ട് നോക്കണം. അപ്പൊ അറിയാം വ്യത്യാസം !!",Positive,mal_sentiment,mal,"Troll ഉണ്ടാക്കിയവർ  2019 january തൊട്ടു december വരെ റീലിസ് ആയ 12 pattukal കണ്ടിട്ട്,  ഈ പാട്ട് കണ്ട് നോക്കണം. അപ്പൊ അറിയാം വ്യത്യാസം !!",2,20,134,0,77,0,28,malayalam,35.0,0,"[{""word"": ""പാട്ട്"", ""aspect"": ""music_bgm"", ""confidence"": 1.0}]",music_bgm,1
ente ikka,Positive,mal_sentiment,mal,Ente   ikka,1,2,9,0,0,0,8,latin,0.0,0,[],none,0
ഷ൪ട്ട് ഊരി അഭിനയിക്കാൻ പറ്റാത്ത പ്രമുഖ നടന്റെ fans കരയുന്നതു coment boxil കാണാതെ പോവരുത് പൂജപ്പുര നിവാസികൾ,Negative,mal_sentiment,mal,ഷ൪ട്ട്  ഊരി അഭിനയിക്കാൻ പറ്റാത്ത പ്രമുഖ നടന്റെ   Fans  കരയുന്നതു  coment boxil കാണാതെ പോവരുത്  🤣         പൂജപ്പുര നിവാസികൾ,1,14,106,0,78,0,15,malayalam,21.428571428571427,1,"[{""word"": ""fans"", ""aspect"": ""fan_stardom"", ""confidence"": 1.0}]",fan_stardom,1
കളിയാക്കുമെന്നു ഉറപ്പുണ്ടായിട്ടും ..ചെയ്യാൻ മനസ്സു കാണിച്ച ഇക്കാക് സല്യൂട്ട്.,Positive,mal_sentiment,mal,കളിയാക്കുമെന്നു ഉറപ്പുണ്ടായിട്ടും ....ചെയ്യാൻ മനസ്സു കാണിച്ച ഇക്കാക് സല്യൂട്ട്...,1,7,77,0,68,0,0,malayalam,0.0,0,[],none,0
ഇതൊരു നാട്ടുരാജാവ് style ആർക്കൊക്കെ തോന്നി..,unknown_state,mal_sentiment,mal,ഇതൊരു നാട്ടുരാജാവ് style ആർക്കൊക്കെ തോന്നി......,1,5,44,0,33,0,5,malayalam,20.0,3,[],none,0
mass ne eru pereyulloo athane ikka,unknown_state,mal_sentiment,mal,Mass ne eru pereyulloo athane ikka,1,6,34,0,0,0,29,latin,0.0,3,"[{""word"": ""mass"", ""aspect"": ""fan_stardom"", ""confidence"": 0.5}]",fan_stardom,1
kochi polee tirssur gundakaludee place aakuoo cinemakarrr..trailer kollam.,Positive,mal_sentiment,mal,Kochi polee tirssur gundakaludee place aakuoo cinemakarrr.....trailer kollam...,1,8,74,0,0,0,64,latin,0.0,0,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
ambili kandavroke onnu like adiche kanaathavar onnu kanade povalle nashtaman,Positive,mal_sentiment,mal,Ambili kandavroke onnu like adiche Kanaathavar onnu kanade povalle nashtaman,1,10,76,0,0,0,67,latin,0.0,0,[],none,0
reapettt mode..on.!!. enne ividenn arenkhillum onn kondopoko.??,Positive,mal_sentiment,mal,Reapettt mode..on...!!. Enne ividenn arenkhillum onn  kondopoko...????,2,7,63,0,0,0,48,latin,0.0,0,[],none,0
oru ghum illaa,Negative,mal_sentiment,mal,Oru ghum illaa,1,3,14,0,0,0,12,latin,0.0,1,[],none,0
എന്റെ പൊന്നു ജോജോ നുമ്മ കട്ട waiting സംഭവം പൊളിച്ചു ഇപ്പൊ മ്മടെ മലയാള സിനിമ വേറെ ലെവലാണ്,Positive,mal_sentiment,mal,എന്റെ പൊന്നു ജോജോ നുമ്മ   കട്ട waiting സംഭവം പൊളിച്ചു ഇപ്പൊ മ്മടെ മലയാള സിനിമ വേറെ ലെവലാണ്,1,14,88,0,68,0,7,malayalam,7.142857142857142,0,[],none,0
oru onnuonnara adaru team combination analloo,Positive,mal_sentiment,mal,Oru onnuonnara adaru team combination analloo,1,6,45,0,0,0,40,latin,0.0,0,[],none,0
അടിപൊളി ഇത് തകർക്കും. ഓണം വരെ കാത്തിരിക്കാനും റാണിയെ കാണാനും royal mech is waiting,Positive,mal_sentiment,mal,അടിപൊളി  ഇത് തകർക്കും.  ഓണം വരെ കാത്തിരിക്കാനും റാണിയെ കാണാനും ROYAL MECH is waiting,2,12,82,0,52,0,18,malayalam,33.33333333333333,0,[],none,0
ഞാൻ പറയുക ആണെങ്കിൽ ഉണ്ണി mugundhan.. അത് എടുത്തിട്ടുണ്ട്.. മിണ്ടാതെ ഇരിക്ക കള്ളൻ.. ഒന്നും അറിയാത്ത പോലെ. ഗൊച്ചു ഗള്ളൻ,unknown_state,mal_sentiment,mal,ഞാൻ പറയുക ആണെങ്കിൽ  ഉണ്ണി mugundhan.... അത് എടുത്തിട്ടുണ്ട്.. മിണ്ടാതെ ഇരിക്ക കള്ളൻ.... ഒന്നും  അറിയാത്ത പോലെ... ഗൊച്ചു ഗള്ളൻ,5,15,117,0,87,0,9,malayalam,6.666666666666667,3,[],none,0
age in reverse gear.. ennu parayunnath verthe alla ikkaa..,Positive,mal_sentiment,mal,Age in reverse gear.. Ennu parayunnath verthe alla ikkaa..,2,9,58,0,0,0,46,latin,0.0,0,[],none,0
മൂക്കുത്തി ഒഴികെ ബാക്കി എല്ലാം കണ്ട നമ്മൾ,unknown_state,mal_sentiment,mal,മൂക്കുത്തി ഒഴികെ ബാക്കി എല്ലാം കണ്ട നമ്മൾ,1,6,41,0,36,0,0,malayalam,0.0,3,[],none,0
മമ്മൂക്കയുടെ ഡയലോഗ് വീണ്ടും വീണ്ടുവീണ്ടും കേൾക്കാൻ വരുന്നവർ ലൈക് ചെയ്യ്,unknown_state,mal_sentiment,mal,മമ്മൂക്കയുടെ ഡയലോഗ് വീണ്ടും വീണ്ടുവീണ്ടും കേൾക്കാൻ വരുന്നവർ ലൈക് ചെയ്യ്,1,8,71,0,64,0,0,malayalam,0.0,3,"[{""word"": ""ഡയലോഗ്"", ""aspect"": ""dialogue"", ""confidence"": 1.0}]",dialogue,1
ഇക്കാ ഫാൻസിന്റെ വക വിജയാശംസകൾ നേരുന്നു. ഞാനൊരു ഇക്കാ ഫാൻ ആണ് എനിക്ക് ഒരു 100ലൈക് തരാമോ ഏട്ടൻ ഫാൻസ്,Positive,mal_sentiment,mal,ഇക്കാ ഫാൻസിന്റെ വക വിജയാശംസകൾ നേരുന്നു...  ഞാനൊരു ഇക്കാ ഫാൻ ആണ് എനിക്ക് ഒരു 100ലൈക്‌ തരാമോ ഏട്ടൻ ഫാൻസ്‌,2,15,98,0,80,0,0,malayalam,0.0,0,[],none,0
ee adutha kalathenkilum ee padam erangooo,unknown_state,mal_sentiment,mal,ee adutha kalathenkilum ee padam erangooo,1,6,41,0,0,0,36,latin,0.0,3,[],none,0
sportz കാർ nu ee filmil എന്തൊക്കെയോ role und,unknown_state,mal_sentiment,mal,Sportz കാർ nu ee filmil എന്തൊക്കെയോ role und,1,8,44,0,14,0,23,latin,25.0,3,"[{""word"": ""role"", ""aspect"": ""hero_character"", ""confidence"": 1.0}]",hero_character,1
ആരും സഞ്ചരിക്കാത്ത വഴികളിലൂടെ നിവിൻ സഞ്ചരിച്ചു തുടങ്ങി,Positive,mal_sentiment,mal,ആരും സഞ്ചരിക്കാത്ത വഴികളിലൂടെ നിവിൻ സഞ്ചരിച്ചു തുടങ്ങി,1,6,54,0,49,0,0,malayalam,0.0,0,[],none,0
pwoli songatto ethra kettittum mathi varunnilla,Positive,mal_sentiment,mal,Pwoli songatto ethra kettittum mathi varunnilla,1,6,47,0,0,0,42,latin,0.0,0,[],none,0
ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പോയി പറ,unknown_state,mal_sentiment,mal,ഇതൊക്കെ സ്കൂൾ പിള്ളേരോട് പോയി പറ,1,5,32,0,28,0,0,malayalam,0.0,3,[],none,0
poyathu poyi ente kayil oru mookuthiyund. edukatte,unknown_state,mal_sentiment,mal,Poyathu poyi Ente kayil oru mookuthiyund. Edukatte,2,7,50,0,0,0,43,latin,0.0,3,[],none,0
song kollam .but dance aru boru.,Mixed_feelings,mal_sentiment,mal,Song kollam ...but dance aru boru...,1,6,32,0,0,0,25,latin,0.0,2,"[{""word"": ""song"", ""aspect"": ""music_bgm"", ""confidence"": 1.0}]",music_bgm,1
amala paul nte aadai cinemayum aayi saamyam thoniyavar undo?,Mixed_feelings,mal_sentiment,mal,Amala paul  nte Aadai cinemayum aayi saamyam thoniyavar undo?,1,9,60,0,0,0,51,latin,0.0,2,[],none,0
njanoru lalettan fan aanu eth dislike adikan thonunilla ikka pwolichu 0 32 mass and stylish,Positive,mal_sentiment,mal,Njanoru lalettan fan aanu Eth dislike adikan thonunilla Ikka pwolichu 0:32 mass and stylish,1,15,91,0,0,0,74,latin,13.333333333333334,0,"[{""word"": ""fan"", ""aspect"": ""fan_stardom"", ""confidence"": 1.0}, {""word"": ""mass"", ""aspect"": ""fan_stardom"", ""confidence"": 0.5}]",fan_stardom,2
kurre ekka duranthangla unlike thudangitt indalla,Negative,mal_sentiment,mal,Kurre  Ekka Duranthangla Unlike Thudangitt indalla,1,6,49,0,0,0,44,latin,0.0,1,[],none,0
maranamass trailer ettan powlichu supper kidukki love you laletta,Positive,mal_sentiment,mal,Maranamass trailer  Ettan powlichu Supper kidukki  Love you laletta,1,9,65,0,0,0,57,latin,0.0,0,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
ഞാൻ ഈ പടം കാണില്ല കാരണം ഇതിന്റെ ഡയറക്ടർ അജയ് വാസുദേവ് ആണ്,Negative,mal_sentiment,mal,ഞാൻ ഈ പടം കാണില്ല കാരണം ഇതിന്റെ ഡയറക്ടർ അജയ് വാസുദേവ്‌ ആണ്,1,10,57,0,48,0,0,malayalam,0.0,1,[],none,0
surajettan sound modulation kurach koodi nannakamayirunnu,Negative,mal_sentiment,mal,Surajettan sound modulation kurach koodi nannakamayirunnu,1,6,57,0,0,0,52,latin,0.0,1,[],none,0
pirates of the caribean രംഗങ്ങള് കാണുന്നുണ്ടല്ലോ?,unknown_state,mal_sentiment,mal,Pirates of the caribean രംഗങ്ങള്‍ കാണുന്നുണ്ടല്ലോ?,1,6,49,0,23,0,20,malayalam,33.33333333333333,3,[],none,0
comments vayichu chirichu oru paruvam aayi,unknown_state,mal_sentiment,mal,Comments vayichu chirichu oru paruvam aayi,1,6,42,0,0,0,37,latin,0.0,3,[],none,0
33k kurugal kanunnylle dislike duranthngal pyaavam lavanmarude pramughanu youtube views illathente sangadam aavum,Negative,mal_sentiment,mal,33k kurugal kanunnylllle dislike🤣🤣🤣🤣🤣 duranthngal pyaavam lavanmarude pramughanu youtube views illathente sangadam aavum,1,13,113,0,0,0,99,latin,0.0,1,[],none,0
"മമ്മുക്കയേ കൊണ്ടേ കഴിയു. ഇദ്ദേഹം ഒരു മഹാ വിസ് മമയ മാണ്, , മാറി മറിയുന്ന വേഷ ഭാവങ്ങൾ",Positive,mal_sentiment,mal,"മമ്മുക്കയേ കൊണ്ടേ കഴിയു...  ഇദ്ദേഹം  ഒരു  മഹാ വിസ്‌മമയ  മാണ്,,,🤣, മാറി മറിയുന്ന വേഷ ഭാവങ്ങൾ🥀🥀🥀🥀",2,14,83,0,67,0,0,malayalam,7.142857142857142,0,[],none,0
കുറച്ചു സിനിമകൾ പക്ഷെ അഭിനയിക്കാൻ അറിഞ്ഞൂടാ ജീവിച്ചു കാണിക്കാനേ അറിയൂ .. അബിക്ക നിങ്ങൾ ഭാഗ്യം ചെയ്ത ഉപ്പയ,Positive,mal_sentiment,mal,കുറച്ചു സിനിമകൾ പക്ഷെ അഭിനയിക്കാൻ അറിഞ്ഞൂടാ ജീവിച്ചു കാണിക്കാനേ അറിയൂ .. അബിക്ക നിങ്ങൾ ഭാഗ്യം ചെയ്ത ഉപ്പയ,2,14,105,0,90,0,0,malayalam,7.142857142857142,0,[],none,0
o ikka polichu 68am vayasillum mass lookka,Positive,mal_sentiment,mal,O ikka polichu 68am vayasillum mass lookka,1,7,42,0,0,0,34,latin,0.0,0,"[{""word"": ""mass"", ""aspect"": ""fan_stardom"", ""confidence"": 0.5}]",fan_stardom,1
അടുത്തുറങ്ങിയ പല തമിഴ് തറില്ലറുകളുടെ ഒരു ഛായ തോന്നിയോ? awesome trailer.let it be a game changer,Positive,mal_sentiment,mal,അടുത്തുറങ്ങിയ പല തമിഴ് തറില്ലറുകളുടെ ഒരു ഛായ തോന്നിയോ?  Awesome trailer...let it be a game changer,2,14,95,0,47,0,33,malayalam,50.0,0,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
ഈ പാട്ട് ജോബ് പാടുന്നത് കേൾക്കാൻ ഒരു ആഗ്രഹം..,unknown_state,mal_sentiment,mal,ഈ പാട്ട് ജോബ് പാടുന്നത് കേൾക്കാൻ ഒരു ആഗ്രഹം..... :),1,7,45,0,37,0,0,malayalam,0.0,3,"[{""word"": ""പാട്ട്"", ""aspect"": ""music_bgm"", ""confidence"": 1.0}]",music_bgm,1
aww.. enthokya ee kaatikootunnathu. poottile trailer aayipoyi,Negative,mal_sentiment,mal,aww.... enthokya ee kaatikootunnathu. poottile  trailer aayipoyi,3,7,61,0,0,0,52,latin,0.0,1,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
ഈ ട്രെയിലർ ബിഗ് ബ്രദർ എഡിറ്റ് ചെയ്ത മരങോടനെ ഒന്നു കാണിച്ചു കൊടുക്കു,unknown_state,mal_sentiment,mal,ഈ ട്രെയിലർ ബിഗ്  ബ്രദർ എഡിറ്റ് ചെയ്ത മരങോടനെ ഒന്നു കാണിച്ചു കൊടുക്കു,1,10,67,0,58,0,0,malayalam,0.0,3,"[{""word"": ""ട്രെയിലർ"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
സന്തോഷ് ബ്രഹ്മി കഴിച്ചോളൂ. എവിടെയാ വച്ചതെന്ന് അപ്പോൾ കിട്ടും,unknown_state,mal_sentiment,mal,സന്തോഷ്‌ ബ്രഹ്മി കഴിച്ചോളൂ. എവിടെയാ വച്ചതെന്ന് അപ്പോൾ കിട്ടും,2,7,60,0,53,0,0,malayalam,0.0,3,[],none,0
oru songil tane itrayum comedy apo onam ittymani kond poyi enu paranjekk,Positive,mal_sentiment,mal,Oru songil tane itrayum comedy apo onam ittymani kond poyi enu paranjekk,1,12,72,0,0,0,61,latin,0.0,0,[],none,0
orru addar movie ayyyrikkum ithuvarre kannatha orru ayytam,Positive,mal_sentiment,mal,Orru addar movie ayyyrikkum ithuvarre kannatha orru ayytam,1,8,58,0,0,0,51,latin,0.0,0,[],none,0
trailer kidu kidu pakshe movie athippol kandariyaam,Mixed_feelings,mal_sentiment,mal,Trailer kidu kidu pakshe movie athippol kandariyaam,1,7,51,0,0,0,45,latin,0.0,2,"[{""word"": ""trailer"", ""aspect"": ""trailer_teaser"", ""confidence"": 1.0}]",trailer_teaser,1
ഞങ്ങടെ സ്വാസൂന്റെ ബിഗ് സ് ക്രീനിലേക്കുള്ള ഒരു പൊൻതൂവലാവട്ടെ. . pmj . all the best മുത്തേ ആകാംഷയോടെ കാത്തിരിക്കുന്നു.. swasuuswasuuu,Positive,mal_sentiment,mal,ഞങ്ങടെ സ്വാസൂന്റെ ബിഗ്‌സ്‌ക്രീനിലേക്കുള്ള ഒരു പൊൻതൂവലാവട്ടെ...  . PMJ   . All the  best മുത്തേ  ആകാംഷയോടെ കാത്തിരിക്കുന്നു....... SwasuuuuSwasuuu,5,17,131,0,84,0,26,malayalam,41.17647058823529,0,[],none,0
idhanu njanga paranja nadan ivananu nadan mammootty,unknown_state,mal_sentiment,mal,Idhanu njanga paranja nadan ivananu NADAN  #mammootty,1,7,51,0,0,0,45,latin,0.0,3,"[{""word"": ""nadan"", ""aspect"": ""hero_character"", ""confidence"": 1.0}, {""word"": ""nadan"", ""aspect"": ""hero_character"", ""confidence"": 1.0}]",hero_character,2
എന്നാ പാടാഡാ ഉവ്വേ ഇങ്ങൾ അഭിനയിക്കുക തന്നെ ആയിരുന്നോ? ഇത് സിനിമ തന്നെ ആണോ? ശെരിക്കും പറഞ്ഞാൽ 100രൂപക്ക് ടിക്കറ്റ് എടുത്താൽ നാല് ചേട്ടന്മാരുടെ ജീവിതം കാണാം,Positive,mal_sentiment,mal,എന്നാ പാടാഡാ ഉവ്വേ  ഇങ്ങൾ അഭിനയിക്കുക തന്നെ ആയിരുന്നോ?  ഇത് സിനിമ തന്നെ ആണോ?  ശെരിക്കും പറഞ്ഞാൽ 100രൂപക്ക് ടിക്കറ്റ് എടുത്താൽ നാല് ചേട്ടന്മാരുടെ ജീവിതം കാണാം,3,20,154,0,130,0,0,malayalam,0.0,0,[],none,0
